id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
0a2db2eead63a0b1a0fd75a021b1f500,Emerge Soft,100.0,Katowice,C/C++,senior,,,20000.0,27000.0
889e5477eb6b68f9377bc9470ab286f5,Emerge Soft,100.0,Kraków,C/C++,senior,,,20000.0,27000.0
eba6e198dcf850ffc764a5d904259312,Emerge Soft,100.0,Gdańsk,C/C++,senior,,,20000.0,27000.0
454fccd97c83ea5d192284e1f3d34631,Emerge Soft,100.0,Łódź,C/C++,senior,,,20000.0,27000.0
2dae91bbf26542af4afb6bf7c3ce95ef,Emerge Soft,100.0,Remote,Java,senior,,,18000.0,26000.0
82758f7b49b705dd3fcbfa07f8cdf2c9,Emerge Soft,100.0,Warszawa,Java,senior,,,18000.0,26000.0
6424fa0f634d4b1b7afc1e720457fbad,Emerge Soft,100.0,Katowice,Java,senior,,,18000.0,26000.0
d12f373d570bcc02a30879dbb338af97,Emerge Soft,100.0,Kraków,Java,senior,,,18000.0,26000.0
fd649d9e729e73b0eb05dc26e5a11d65,Emerge Soft,100.0,Poznań,Java,senior,,,18000.0,26000.0
4d34a1feecdacc886511768b4d12274f,Emerge Soft,100.0,Gdańsk,Java,senior,,,18000.0,26000.0
cf6396536b0ec1f7e4790b343b245643,Emerge Soft,100.0,Łódź,Java,senior,,,18000.0,26000.0
c41c92dbea9a2ddbbe734222faf859be,Emerge Soft,100.0,Wrocław,Java,senior,,,18000.0,26000.0
f373274dd4f68b04e082f9905a8963d2,Ringier Axel Springer Tech,100.0,Kraków,JavaScript,senior,13000.0,21700.0,15100.0,25200.0
0c6665eeb4009d4d248b7e8bdc9b069a,Ringier Axel Springer Tech,100.0,Warszawa,JavaScript,senior,13000.0,21700.0,15100.0,25200.0
